username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Drifterz,3031025697,"Spokane, WA",2023-01-19 11:29:01,BREAKING Young Men Hit The STREETS TO PROTEST In Support Of ANDREW TATE ... https://t.co/YFJpNHFmqO via @YouTube,0,Twitter for iPhone,
Me,1439768319322587136,"Spokane, WA",2023-01-19 07:47:45,@WTPAreTheNews @BobLobl12121863 @laurenboebert Yes lets discuss why your friends were there to instigate and start… https://t.co/7cOSuRvwHE,0,Twitter for Android,
Jordan,982059550915178496,"Spokane, WA",2023-01-18 16:58:46,@GretaThunberg You were apart of a violent protest,0,Twitter for Android,
Jon Davidson,1587578811075690496,"Spokane, WA",2023-01-18 07:03:53,"@KurtSchlichter For a guy that was quitting Twitter in protest of @elonmusk taking over, he sure seems to be tweeting a lot.",0,Twitter for iPad,
Shawn Griffin,793658020743876608,"Spokane, WA",2023-01-17 21:03:44,"Climate activist Greta Thunberg detained by police in Germany at coal mine protest

https://t.co/zIoUVsSF6u",0,Twitter for Android,
gary walton sr.,213099999,Spokane Wa.,2023-01-17 19:17:23,"UPDATE 3-Greta Thunberg arrested at German mine protest, will be freed later - police https://t.co/vVsnKdqprO via @Yahoo",1,Twitter Web App,
Doug Daulton 🌻🇺🇦🌻,15137670,"Spokane, WA",2023-01-17 15:51:15,"@GOP Start by rejecting anti-democratic proto-fascist zealots in the @GOP.

For example, Trump who deployed troops… https://t.co/QsyClG62cG",0,Twitter for iPhone,
Brad Preston,121846854,"Spokane, Washington",2023-01-17 01:32:39,"@AdamLBTaylor @TheLostCynic @itsJeffTiedrich And how it’s been taught forever. I’m whiter than U2 in a snowstorm, b… https://t.co/SYToANYJCV",1,Twitter for iPhone,
"Carlisle + Byers, PLLC",1559452946,"Spokane, WA",2023-01-17 00:30:16,"If your shot isn’t in the air when the buzzer goes off, it doesn’t count. The same concept applies to workers' comp… https://t.co/wJz5Gv8Fjo",0,Semrush Social Media Tool,
Shawn Griffin,793658020743876608,"Spokane, WA",2023-01-16 22:16:23,"Memphis man's death after arrest sparks protests, investigations of police https://t.co/vXCQPLTPJL",0,Twitter for Android,
Xeniamorph 🔍,901960840215052288,"Spokane, WA",2023-01-15 08:03:11,@adrusi @acidshill doth protest too much &amp;c.,0,Twitter for Android,
Devin Harrington,1629180786,Spokane WA ,2023-01-15 04:37:07,@SpokGOP People should show up for work Monday as a form of protest,0,Twitter Web App,
Blinded_by_Science,1273770321556865024,"Spokane, WA",2023-01-13 23:54:07,Another #MAGAMoron recommending that people buy then destroy a product in protest! They really don’t understand the… https://t.co/zZTWFJM7ZW,0,Twitter for iPhone,
*****,4726300796,Spokane WA,2023-01-13 15:53:22,"A top law enforcement official stated under oath that a coordinated, experienced group of agitators engaged in much… https://t.co/gU0PRsQu6w",1,Twitter Web App,
Joseph R,711774587030122496,"Spokane, WA",2023-01-12 18:19:19,"@vatsal61865305 @ReachTRW That’s not true, band together and protest in Romania.. it’s not that y’all can’t do anyt… https://t.co/aJnYt1sR07",0,Twitter for iPhone,
